Empreendimento,Ano_Lancamento,Tipologia,Publico,Status,Entrega,Construtora,Bairro,Academia_Interna,Academia_Externa,Beach_Point,Bicicletario,Churrasqueira,Coworking,Delivery,Espaco_Gourmet,Espaco_Kids,Bike_Sharing,Espaco_Teen,Espaco_Zen,Grab_Go,Lavanderia,Lounge,Market,Pet_Care,Pet_Park,Piscina,Playground,Pub_Jogos,Quadra,Sala_Ioga_Pilates,Sala_Reuniao,Salao_Festas,Sala_Massagem,Sauna,Ambientes_Extras,Total_Lazer
ÔNIX,2024,1Q,SOLTEIROS E RECÉM-CASADOS,EM CONSTRUÇÃO,2027-12-01,EMPAR,JARDIM CAMBURI,Fitness,Espaço Funcional,,Bicicletário,,Coworking,Delivery,,,,,,,,Sky Lounge,Mini Market,Pet Care,,Piscina,,Pub Gourmet,,,,,,,,10
ÔNIX,2024,2Q,SOLTEIROS E RECÉM-CASADOS,EM CONSTRUÇÃO,2027-12-01,EMPAR,JARDIM CAMBURI,Fitness,Espaço Funcional,,Bicicletário,,Coworking,Delivery,,,,,,,,Sky Lounge,Mini Market,Pet Care,,Piscina,,Pub Gourmet,,,,,,,,10
ARIAH RESIDENCIAL,2025,Studio,SOLTEIROS E RECÉM-CASADOS,EM CONSTRUÇÃO,2029-05-01,DOMUS,JARDIM CAMBURI,Academia,,,,Churrasqueira,,Delivery,Espaço Gourmet,,,,,,Lavanderia,,,,,Piscina,Playground,Game room,,,Conference Room,,,,Tools Sharing,10
ARIAH RESIDENCIAL,2025,2Q,SOLTEIROS E RECÉM-CASADOS,EM CONSTRUÇÃO,2029-05-01,DOMUS,JARDIM CAMBURI,Academia,,,,Churrasqueira,,Delivery,Espaço Gourmet,,,,,,Lavanderia,,,,,Piscina,Playground,Game room,,,Conference Room,,,,Tools Sharing,10
GALAZZI SMART LIVING,2024,1Q,SOLTEIROS E RECÉM-CASADOS,EM CONSTRUÇÃO,2028-03-01,LM EMPREENDIMENTOS,JARDIM CAMBURI,Academia Interna,Área Fitness Externa,,Bicicletário,Churrasqueira,Coworking,Delivery,Gourmet,,,,,,Lavanderia,Lounge,,Pet Care,,Piscina,,,,,,,,,,11
STAY BENTO FERREIRA,2024,1Q,SOLTEIROS E RECÉM-CASADOS,EM CONSTRUÇÃO,2028-01-01,CASAMORADA,BENTO FERREIRA,Academia,Fitness ao ar livre,,Bicicletário,,Coworking,Delivery,Espaço Gourmet,,,,,,Lavanderia,,Home Market,Pet Care,Espaço Pet,Piscina,,,,,,,,,,11
ITA LIVING,2026,Studio,SOLTEIROS RECÉM-CASADOS E FAMÍLIA,LANÇAMENTO,2030-02-01,JAVÉ,ITAPARICA,Academia,,Beach Point,Bike Zone,Churrasqueira,Coworking,Delivery,Espaço Gourmet,Espaço Kids,,,,,Lavanderia,Lounge Sunset,Minimarket,Pet Care,,Piscina,,Live Pub,,Wellness Room,Sala de Reunião,,,Sauna,,17
ITA LIVING,2026,2Q,SOLTEIROS RECÉM-CASADOS E FAMÍLIA,LANÇAMENTO,2030-02-01,JAVÉ,ITAPARICA,Academia,,Beach Point,Bike Zone,Churrasqueira,Coworking,Delivery,Espaço Gourmet,Espaço Kids,,,,,Lavanderia,Lounge Sunset,Minimarket,Pet Care,,Piscina,,Live Pub,,Wellness Room,Sala de Reunião,,,Sauna,,17
SANTÔ 35 RESIDENCES,2025,Studio,SOLTEIROS RECÉM-CASADOS E FAMÍLIA,LANÇAMENTO,2030-02-01,JAVÉ,PRAIA DA COSTA,Fitness,,Beach Point,Bike Point,Churrasqueira,Coworking,Delivery,Espaço Gourmet,,,,,,Lavanderia,Lounge,Self Market,,,Piscina,,Wine Pub,,,,,,Sauna,Hidromassagem,14
SANTÔ 35 RESIDENCES,2025,2Q,SOLTEIROS RECÉM-CASADOS E FAMÍLIA,LANÇAMENTO,2030-02-01,JAVÉ,PRAIA DA COSTA,Fitness,,Beach Point,Bike Point,Churrasqueira,Coworking,Delivery,Espaço Gourmet,,,,,,Lavanderia,Lounge,Self Market,,,Piscina,,Wine Pub,,,,,,Sauna,Hidromassagem,14
CHROMA RESIDENCE,2024,Studio,SOLTEIROS RECÉM-CASADOS E FAMÍLIA,EM CONSTRUÇÃO,2027-12-01,JAVÉ,PRAIA DA COSTA,Academia,,,Bike Point,Churrasqueira,,Delivery Room,Espaço Gourmet,,,,,,Lavanderia,,Mini Mercado,Pet Care,,Piscina,,,,,,,,Sauna,"Tools Sharing,",11
CHROMA RESIDENCE,2024,1Q,SOLTEIROS RECÉM-CASADOS E FAMÍLIA,EM CONSTRUÇÃO,2027-12-01,JAVÉ,PRAIA DA COSTA,Academia,,,Bike Point,Churrasqueira,,Delivery Room,Espaço Gourmet,,,,,,Lavanderia,,Mini Mercado,Pet Care,,Piscina,,,,,,,,Sauna,"Tools Sharing,",11
CHROMA RESIDENCE,2024,2Q,SOLTEIROS RECÉM-CASADOS E FAMÍLIA,EM CONSTRUÇÃO,2027-12-01,JAVÉ,PRAIA DA COSTA,Academia,,,Bike Point,Churrasqueira,,Delivery Room,Espaço Gourmet,,,,,,Lavanderia,,Mini Mercado,Pet Care,,Piscina,,,,,,,,Sauna,"Tools Sharing,",11
DOM,2026,Studio,ESTUDANTES; SOLTEIROS; RECÉM-CASADOS,LANÇAMENTO,2029-09-01,MIVITA,MATA DA PRAIA,Academia,,,Bicicletário,Churrasqueira,Coworking,Espaço Delivery e guarda-compras,Espaço Gourmet e Espaço Dom,,,,,,Lavanderia,,Mercadinho,,Pet Place,Piscina,,Pub Jogos,,,Sala de Reunião,Salão de Festas,,,,15
DOM,2026,1Q,ESTUDANTES; SOLTEIROS; RECÉM-CASADOS,LANÇAMENTO,2029-09-01,MIVITA,MATA DA PRAIA,Academia,,,Bicicletário,Churrasqueira,Coworking,Espaço Delivery e guarda-compras,Espaço Gourmet e Espaço Dom,,,,,,Lavanderia,,Mercadinho,,Pet Place,Piscina,,Pub Jogos,,,Sala de Reunião,Salão de Festas,,,,15
DOM,2026,2Q,ESTUDANTES; SOLTEIROS; RECÉM-CASADOS,LANÇAMENTO,2029-09-01,MIVITA,MATA DA PRAIA,Academia,,,Bicicletário,Churrasqueira,Coworking,Espaço Delivery e guarda-compras,Espaço Gourmet e Espaço Dom,,,,,,Lavanderia,,Mercadinho,,Pet Place,Piscina,,Pub Jogos,,,Sala de Reunião,Salão de Festas,,,,15
ILHA CAMBURI,2025,1Q,INVESTIDORES SHORT STAY E SOLTEIROS/RECÉM CASADOS,LANÇAMENTO,2029-10-01,IMPACTO ENGENHARIA,JARDIM CAMBURI,Academia,,,Bike Point,Grill Gourmet,Coworking,Guarda-entregas,Espaço Gourmet,Brinquedoteca,,,,,,,Mini Mercado,,,Piscina,,Salão de Jogos,,,,Salão de Festas,,Sauna e Repouso,,12
ILHA CAMBURI,2025,2Q,INVESTIDORES SHORT STAY E SOLTEIROS/RECÉM CASADOS,LANÇAMENTO,2029-10-01,IMPACTO ENGENHARIA,JARDIM CAMBURI,Academia,,,Bike Point,Grill Gourmet,Coworking,Guarda-entregas,Espaço Gourmet,Brinquedoteca,,,,,,,Mini Mercado,,,Piscina,,Salão de Jogos,,,,Salão de Festas,,Sauna e Repouso,,12
